"리모델링 상태 (그룹화)
00 = 기본
01 ~ 05 = 업그레이드 단계","부대 시설 정보
00 = 카운터
01 = 첫 번째 부대시설
02 = 두 번째 부대시설
...",부대 시설 해금 여부,"확장 시 필요한 골드
카운터 확장 = 리모델링",확장 시 걸리는 시간 (초),"확장 시 증가하는 
골드 초당 축적 비율
기본 축적량 + n% (합연산)",축적 가능한 최대 골드량,"배치 시 증가하는 
에너지 충전 비율
기본 충전량 * n% (곱연산)",시설 별 최대 이용 손님 수
bathhouse_gradeid,bathhouse_id,is_unlocked,bathhouse_cost,bathhouse_time,bathhouse_goldinterest,bathhouse_maxgold,bathhouse_energyinterest,bathhouse_maxcustomer
int,int,boolean,int,int,float,int,float,int
6000,60000,False,0,0,0,3600,1.2,1
6000,60001,False,0,0,0.035,3600,1.2,1
6000,60002,False,5000,10800,0.035,3600,1.2,1
6000,60003,False,10000,21600,0.035,3600,1.2,1
6000,60004,False,15000,32400,0.035,3600,1.2,1
6000,60005,False,20000,43200,0.035,3600,1.2,0
6001,60010,False,50000,0,0,4200,1.25,1
6001,60011,False,0,0,0.04,4200,1.25,1
6001,60012,False,5000,10800,0.04,4200,1.25,1
6001,60013,False,10000,21600,0.04,4200,1.25,1
6001,60014,False,15000,32400,0.04,4200,1.25,1
6001,60015,False,20000,43200,0.04,4200,1.25,0
6002,60020,False,75000,0,0,4800,1.3,2
6002,60021,False,0,0,0.045,4800,1.3,2
6002,60022,False,5000,10800,0.045,4800,1.3,2
6002,60023,False,10000,21600,0.045,4800,1.3,2
6002,60024,False,15000,32400,0.045,4800,1.3,2
6002,60025,False,20000,43200,0.045,4800,1.3,0
6003,60030,False,100000,0,0,5400,1.35,2
6003,60031,False,0,0,0.05,5400,1.35,2
6003,60032,False,5000,10800,0.05,5400,1.35,2
6003,60033,False,10000,21600,0.05,5400,1.35,2
6003,60034,False,15000,32400,0.05,5400,1.35,2
6003,60035,False,20000,43200,0.05,5400,1.35,0
6004,60040,False,125000,0,0,6000,1.4,3
6004,60041,False,0,0,0.06,6000,1.4,3
6004,60042,False,5000,10800,0.06,6000,1.4,3
6004,60043,False,10000,21600,0.06,6000,1.4,3
6004,60044,False,15000,32400,0.06,6000,1.4,3
6004,60045,False,20000,43200,0.06,6000,1.4,0
6005,60050,False,150000,0,0,7200,1.5,3
6005,60051,False,0,0,0.07,7200,1.5,3
6005,60052,False,5000,10800,0.07,7200,1.5,3
6005,60053,False,10000,21600,0.07,7200,1.5,3
6005,60054,False,15000,32400,0.07,7200,1.5,3
6005,60055,False,20000,43200,0.07,7200,1.5,0
