손님 그룹 (그룹화),"동물 주민 정보
666666 = 더미
(주민 외에 나머지 빈 확률 채우기)",구출 여부,방문 확률,방문 지속 시간 (초),"증가하는 골드 초당 축적 비율
기본 축적량 * n% (곱연산)"
customer_group,monster_id,is_rescued,customer_probability,customer_duration,customer_goldinterest
int,int,boolean,float,int,float
20000000,666666,True,0.6875,0,0
20000000,201091,False,0.05,60,1.1
20000000,201092,False,0.025,60,1.2
20000000,201093,False,0.05,60,1.1
20000000,201094,False,0.05,60,1.1
20000000,201095,False,0.0125,60,1.3
20000000,201096,False,0.05,60,1.1
20000000,201097,False,0.025,60,1.2
20000000,201098,False,0.0125,60,1.3
20000000,201099,False,0.025,60,1.2
20000000,201100,False,0.0125,60,1.3
20000001,666666,True,0.999,0,0
20000001,666667,True,0.001,60,2
