Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
id,desc,group_id,level,is_max_level,add_value,cost_gold,cost_blueprint,blueprint_id
int,-,int,int,bool,float,int,int,int
3100201,무기 강화 1,31001,1,0,0.10,100000,10,34003
3100202,무기 강화 2,31001,2,0,0.20,150000,15,34003
3100203,무기 강화 3,31001,3,0,0.30,200000,20,34003
3100204,무기 강화 4,31001,4,0,0.40,250000,25,34003
3100205,무기 강화 5,31001,5,1,0.50,300000,30,34003
3110201,모자 강화 1,31101,1,0,0.20,75000,8,34002
3110202,모자 강화 2,31101,2,0,0.25,90000,11,34002
3110203,모자 강화 3,31101,3,0,0.30,105000,14,34002
3110204,모자 강화 4,31101,4,0,0.35,110000,17,34002
3110205,모자 강화 5,31101,5,1,0.40,125000,20,34002
3120201,망토 강화 1,31201,1,0,0.10,75000,8,34001
3120202,망토 강화 2,31201,2,0,0.20,90000,11,34001
3120203,망토 강화 3,31201,3,0,0.30,105000,14,34001
3120204,망토 강화 4,31201,4,0,0.40,110000,17,34001
3120205,망토 강화 5,31201,5,1,0.50,125000,20,34001
3130201,신발 강화 1,31301,1,0,0.40,75000,8,34004
3130202,신발 강화 2,31301,2,0,0.80,90000,11,34004
3130203,신발 강화 3,31301,3,0,1.20,105000,14,34004
3130204,신발 강화 4,31301,4,0,1.60,110000,17,34004
3130205,신발 강화 5,31301,5,1,2.00,125000,20,34004
