,,,,,,,,,,,,,,,,,,,,,,,,,,
id,desc,stat_type,stat_value,group_id,relic_type,name,script,sprite,effect,sound,,,,,,,,,,,,,,,,
int,-,enum,float,int,enum,string,string,string,string,string,,,,,,,,,,,,,,,,
33001,골드 증가 수세미,0,10,33001,0,relic_name_33001,relic_script_33001,relic_sponge_01,relic_effect_33001,relic_sound_33001,,,,,,,,,,,,,,,,
33002,골드 증가 치약,0,10,33002,0,relic_name_33002,relic_script_33002,relic_toothpaste_01,relic_effect_33002,relic_sound_33002,,,,,,,,,,,,,,,,
33003,골드 증가 비누,0,10,33003,0,relic_name_33003,relic_script_33003,relic_soap_01,relic_effect_33003,relic_sound_33003,,,,,,,,,,,,,,,,
33004,골드 증가 타올,0,10,33004,0,relic_name_33004,relic_script_33004,relic_towel_01,relic_effect_33004,relic_sound_33004,,,,,,,,,,,,,,,,
33005,골드 증가 샤워볼,0,10,33005,0,relic_name_33005,relic_script_33005,relic_showerball_01,relic_effect_33005,relic_sound_33005,,,,,,,,,,,,,,,,
33006,골드 증가 헤어밴드,0,10,33006,0,relic_name_33006,relic_script_33006,relic_hairband_01,relic_effect_33006,relic_sound_33006,,,,,,,,,,,,,,,,
33101,드롭 확률 수세미,1,2,33101,1,relic_name_33101,relic_script_33101,relic_sponge_02,relic_effect_33101,relic_sound_33101,,,,,,,,,,,,,,,,
33102,드롭 확률 증가 치약,1,2,33102,1,relic_name_33102,relic_script_33102,relic_toothpaste_02,relic_effect_33102,relic_sound_33102,,,,,,,,,,,,,,,,
33103,드롭 확률 증가 비누,1,2,33103,1,relic_name_33103,relic_script_33103,relic_soap_02,relic_effect_33103,relic_sound_33103,,,,,,,,,,,,,,,,
33104,드롭 확률 증가 타올,1,2,33104,1,relic_name_33104,relic_script_33104,relic_towel_02,relic_effect_33104,relic_sound_33104,,,,,,,,,,,,,,,,
33105,드롭 확률 증가 샤워볼,1,2,33105,1,relic_name_33105,relic_script_33105,relic_showerball_02,relic_effect_33105,relic_sound_33105,,,,,,,,,,,,,,,,
33106,드롭 확률 증가 헤어밴드,1,2,33106,1,relic_name_33106,relic_script_33106,relic_hairband_02,relic_effect_33106,relic_sound_33106,,,,,,,,,,,,,,,,
33201,경치 증가 수세미,2,5,33201,2,relic_name_33201,relic_script_33201,relic_sponge_03,relic_effect_33201,relic_sound_33201,,,,,,,,,,,,,,,,
33202,경치 증가 치약,2,5,33202,2,relic_name_33202,relic_script_33202,relic_toothpaste_03,relic_effect_33202,relic_sound_33202,,,,,,,,,,,,,,,,
33203,경치 증가 비누,2,5,33203,2,relic_name_33203,relic_script_33203,relic_soap_03,relic_effect_33203,relic_sound_33203,,,,,,,,,,,,,,,,
33204,경치 증가 타올,2,5,33204,2,relic_name_33204,relic_script_33204,relic_towel_03,relic_effect_33204,relic_sound_33204,,,,,,,,,,,,,,,,
33205,경치 증가 샤워볼,2,5,33205,2,relic_name_33205,relic_script_33205,relic_showerball_03,relic_effect_33205,relic_sound_33205,,,,,,,,,,,,,,,,
33206,경치 증가 헤어밴드,2,5,33206,2,relic_name_33206,relic_script_33206,relic_hairband_03,relic_effect_33206,relic_sound_33206,,,,,,,,,,,,,,,,
33301,범위 증가 수세미,3,1,33301,3,relic_name_33301,relic_script_33301,relic_sponge_04,relic_effect_33301,relic_sound_33301,,,,,,,,,,,,,,,,
33302,범위 증가 치약,3,1,33302,3,relic_name_33302,relic_script_33302,relic_toothpaste_04,relic_effect_33302,relic_sound_33302,,,,,,,,,,,,,,,,
33303,범위 증가 비누,3,1,33303,3,relic_name_33303,relic_script_33303,relic_soap_04,relic_effect_33303,relic_sound_33303,,,,,,,,,,,,,,,,
33304,범위 증가 타올,3,1,33304,3,relic_name_33304,relic_script_33304,relic_towel_04,relic_effect_33304,relic_sound_33304,,,,,,,,,,,,,,,,
33305,범위 증가 샤워볼,3,1,33305,3,relic_name_33305,relic_script_33305,relic_showerball_04,relic_effect_33305,relic_sound_33305,,,,,,,,,,,,,,,,
33306,범위 증가 헤어밴드,3,1,33306,3,relic_name_33306,relic_script_33306,relic_hairband_04,relic_effect_33306,relic_sound_33306,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
