id,desc,group_id,level,is_max_level,add_value,cost_gold,cost_fragment,cost_id
int,-,int,int,bool,float,int,int,int
3300101,골드 수세미 강화 1,33001,1,0,5,200000,5,34005
3300102,골드 수세미 강화 2,33001,2,0,10,200000,15,34005
3300103,골드 수세미 강화 3,33001,3,0,15,200000,25,34005
3300104,골드 수세미 강화 4,33001,4,1,20,250000,40,34005
3300201,골드 치약 강화 1,33002,1,0,5,200000,5,34005
3300202,골드 치약 강화 2,33002,2,0,10,200000,15,34005
3300203,골드 치약 강화 3,33002,3,0,15,200000,25,34005
3300204,골드 치약 강화 4,33002,4,1,20,250000,40,34005
3300301,골드 비누 강화 1,33003,1,0,5,200000,5,34005
3300302,골드 비누 강화 2,33003,2,0,10,200000,15,34005
3300303,골드 비누 강화 3,33003,3,0,15,200000,25,34005
3300304,골드 비누 강화 4,33003,4,1,20,250000,40,34005
3300401,골드 타올 강화 1,33004,1,0,5,200000,5,34005
3300402,골드 타올 강화 2,33004,2,0,10,200000,15,34005
3300403,골드 타올 강화 3,33004,3,0,15,200000,25,34005
3300404,골드 타올 강화 4,33004,4,1,20,250000,40,34005
3300501,골드 샤워볼 강화 1,33005,1,0,5,200000,5,34005
3300502,골드 샤워볼 강화 2,33005,2,0,10,200000,15,34005
3300503,골드 샤워볼 강화 3,33005,3,0,15,200000,25,34005
3300504,골드 샤워볼 강화 4,33005,4,1,20,250000,40,34005
3300601,골드 헤어밴드 강화 1,33006,1,0,5,200000,5,34005
3300602,골드 헤어밴드 강화 2,33006,2,0,10,200000,15,34005
3300603,골드 헤어밴드 강화 3,33006,3,0,15,200000,25,34005
3300604,골드 헤어밴드 강화 4,33006,4,1,20,250000,40,34005
3310101,드롭 수세미 강화 1,33101,1,0,2.5,200000,5,34005
3310102,드롭 수세미 강화 2,33101,2,0,5,200000,15,34005
3310103,드롭 수세미 강화 3,33101,3,0,7.5,200000,25,34005
3310104,드롭 수세미 강화 4,33101,4,1,10,250000,40,34005
3310201,드롭 치약 강화 1,33102,1,0,2.5,200000,5,34005
3310202,드롭 치약 강화 2,33102,2,0,5,200000,15,34005
3310203,드롭 치약 강화 3,33102,3,0,7.5,200000,25,34005
3310204,드롭 치약 강화 4,33102,4,1,10,250000,40,34005
3310301,드롭 비누 강화 1,33103,1,0,2.5,200000,5,34005
