리소스 고유 ID (PK),드랍 리소스
drop_resource_id,drop_resource
int,string
242001,item_ingame_dirt
242002,item_ingame_dirt
242003,item_ingame_dirt
242101,gold_01
242102,gold_02
242201,relic_sponge_gold
242202,relic_toothpaste_gold
242203,relic_soap_gold
242204,relic_towel_gold
242205,relic_showerball_gold
242206,relic_hairband_gold
242207,relic_sponge_drop
242208,relic_toothpaste_drop
242209,relic_soap_drop
242210,relic_towel_drop
242211,relic_showerball_drop
242212,relic_hairband_drop
242213,relic_sponge_exp
242214,relic_toothpaste_exp
242215,relic_soap_exp
242216,relic_towel_exp
242217,relic_showerball_exp
242218,relic_hairband_exp
242219,relic_sponge_magnet
242220,relic_toothpaste_magnet
242221,relic_soap_magnet
242222,relic_towel_magnet
242223,relic_showerball_magnet
242224,relic_hairband_magnet
