Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,테이블 설명,,,,,,,,,,,ID 규칙,,,,,,,,,,,,,,,,,,,,,,
,,테이블명,,,,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,monster,,,,개별 몬스터 정의,,,,,,,2,,,T,,,X,,,,,,,,,Y,,,Y,,,Y
,,monster_type,,,,타입별 기준 배율,,,,,,,↓,,,↓,,,↓,,,,,,,,,,,,↓,,,
,,pattern_group,,,,패턴 묶음 정의,,,,,,,몬스터,,,테이블 ID 구분,,,테이블 내부 구분,,,,,,,,,,,,내부 구별 번호,,,
,,pattern_group_composition,,,,패턴 조합 정의,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pattern,,,,패턴 수치 정의,,,,,,,,,0: monster_id,,,몬스터 타입 0=일반 1=특수 패턴 2=엘리트 3=보스,,,,,,,,,,,,,,,,
,,boss_trigger_pattern,,,,보스 전용 기믹 패턴 정의,,,,,,,,,1: pattern_group_id,,,,,,,,,,,,,,,,,,,
,,monster_drop_table,,,,몬스터 사망 시 드랍 아이템(유물) 관리,,,,,,,,,2: pattern_id,,,패턴 타입 0=패턴 없음 1=이동 2=투사체 3=영역 4=소환수 5=트리거 6=자폭 7=레이저 8=바리케이드,,,,,,,,,,,,,,,,
,,monster_resource,,,,몬스터 캐릭터 이펙트 리소스 관리,,,,,,,,,3: drop_group_id,,,,,,,,,,,,,,,,,,,
,,pattern_object_resource,,,,패턴 공격 이펙트 리소스 관리,,,,,,,,,4: resource_id,,,리소스 타입 0=몬스터 리소스 1=오브젝트 리소스 2=드랍 리소스,,,,,,,,,,0=더러움 1=골드 2=유물			,,,,,,
,,,,,,,,,,,,,,,5: string_id,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,테이블 규격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,테이블,,,,컬럼명,,,자료형,상세,,,,,,,,,,,,,,,,,,,,,,,,
,,monster,,,,monster_id ,,,int,몬스터 고유 ID (PK),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,index,,,string,기획 소통용 탑_타입_번호 참조 없음,,,,,,,,,,,,,,,,,,타입,,상세,,,,
,,,,,,monster_type,,,enum,몬스터 타입 0=일반 1=특수 패턴 2=엘리트 3=보스,,,,,,,,,,,,,,,,,,N,,일반(노말) 몬스터,,,,
,,,,,,pattern_group_id,,,int,pattern_group 테이블 참조 (FK),,,,,,,,,,,,,,,,,,S,,특수 패턴(스페셜) 몬스터,,,,
,,,,,,base_exp,,,int,처치 시 기본 경험치,,,,,,,,,,,,,,,,,,E,,중간 보스(엘리트) 몬스터,,,,
,,,,,,drop_group_id,,,float,monster_drop_table 참조 그룹 ID (FK),,,,,,,,,,,,,,,,,,B,,보스 몬스터,,,,
,,,,,,daily_gold_drop,,,int,일일 골드 던전에서 드랍되는 골드의 수량,,,,,,,,,,,,,,,,,,A,,동물 주민 몬스터,,,,
,,,,,,drop_resource_id,,,int,drop_resource ID 참조 (FK),,,,,,,,,,,,,,,,,,SD1,,골드 던전 몬스터,,,,
,,,,,,resource_id,,,int,monster_resource 참조 (FK),,,,,,,,,,,,,,,,,,SD2,,도면 던전 몬스터,,,,
,,monster_type,,,,monster_type,,,enum,몬스터 타입 0=일반 1=특수 패턴 2=엘리트 3=보스,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_hp_multiply,,,float,체력 배율,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_power_multiply,,,float,공격력 배율,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_move_speed,,,float,이동 속도,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_mass,,,float,질량,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_hit_box,,,float,충돌 범위,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,type_nb,,,float,넉백 저항 수치,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,base_exp,,,float,처치 시 기본 경험치,,,,,,,,,,,,,,,,,,,,,,,,
