드랍 그룹 ID (PK),유물 ID,드랍 확률,드랍 리소스 고유 ID (FK)
drop_group_id,id,drop_rate,drop_resource_id
int,int,float,int
230001,33001,0.25,242201
230001,33101,0.25,242202
230001,33201,0.25,242203
230001,33301,0.25,242204
230002,33002,0.25,242205
230002,33102,0.25,242206
230002,33202,0.25,242207
230002,33302,0.25,242208
230003,33003,0.25,242209
230003,33103,0.25,242210
230003,33203,0.25,242211
230003,33303,0.25,242212
230004,33004,0.25,242213
230004,33104,0.25,242214
230004,33204,0.25,242215
230004,33304,0.25,242216
230005,33005,0.25,242217
230005,33105,0.25,242218
230005,33205,0.25,242219
230005,33305,0.25,242220
230006,33006,0.25,242221
230006,33106,0.25,242222
230006,33206,0.25,242223
230006,33306,0.25,242224
