리소스 고유 ID (PK),기획 소통용 탑_타입_번호,이동 애니메이션,공격 예고 모션,공격 애니메이션,사망 애니메이션,공격 이펙트
resource_id,index,move_animation,cast_animation,attack_animation,death_animation,attack_effect
int,string,srting,srting,srting,srting,srting
240001,2_N_01,monster_2-1_stainplate,monster_2-1_stainplate,,,
240002,2_N_02,monster_2-2_stainbook,monster_2-2_stainbook,,,
240003,2_N_03,monster_2-1_stainplate,monster_2-1_stainplate,,,
240004,2_N_04,monster_2-2_stainbook,monster_2-2_stainbook,,,
240005,2_N_05,monster_2-1_stainplate,monster_2-1_stainplate,,,
240006,2_N_06,monster_2-2_stainbook,monster_2-2_stainbook,,,
240007,2_N_07,monster_2-1_stainplate,monster_2-1_stainplate,,,
240008,2_S_01,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240009,2_S_02,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240010,2_S_03,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240011,2_S_04,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240012,2_S_05,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240013,2_S_06,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240014,2_S_07,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240015,2_S_08,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240016,2_S_09,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240017,2_S_10,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240018,2_S_11,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240019,2_S_12,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240020,2_S_13,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240021,2_S_14,specialmonster_2-2_stainpaperplane_move,specialmonster_2-2_stainpaperplane,,,
240022,2_S_15,specialmonster_2-1_stainmop_move,specialmonster_2-1_stainmop,,,
240023,2_E_01,elitemonster_2-1_staintable_move,elitemonster_2-1_staintable,,,
240024,2_E_02,elitemonster_2-2_stainlaundrybasket_move,elitemonster_2-2_stainlaundrybasket,,,
240025,2_E_03,elitemonster_2-1_staintable_move,elitemonster_2-1_staintable,,,
240026,2_E_04,elitemonster_2-2_stainlaundrybasket_move,elitemonster_2-2_stainlaundrybasket,,,
240027,2_E_05,elitemonster_2-1_staintable_move,elitemonster_2-1_staintable,,,
240028,2_B_01,bossmonster_2-1_staincushion_move,bossmonster_2-1_staincushion,,,
240029,2_B_02,bossmonster_2-2_staincushion+_move,bossmonster_2-2_staincushion+,,,
240030,2_B_03,bossmonster_2-3_handprintcushion_move,bossmonster_2-3_handprintcushion,,,
240031,2_B_04,bossmonster_2-4_handprintcushion+_move,bossmonster_2-4_handprintcushion+,,,
240032,2_B_05,bossmonster_2-5_stainleader_move,bossmonster_2-5_stainleader,,,
240033,2_B_06,bossmonster_2-6_stainleader+_move,bossmonster_2-6_stainleader+,,,
240034,2_B_07,bossmonster_2-7_stainking_move,bossmonster_2-7_stainking,,,
240035,2_B_08,bossmonster_2-8_stainking+.png_move,bossmonster_2-8_stainking+.png,,,
240036,2_B_09,bossmonster_2-9_stainemperor_move,bossmonster_2-9_stainemperor,,,
240037,2_B_10,bossmonster_2-10-staingreatking_move,bossmonster_2-10-staingreatking,,,
240038,3_N_01,monster_3-1_moldycheese_move,monster_3-1_moldycheese,,,
240039,3_N_02,monster_3-2_moldytangerin_move,monster_3-2_moldytangerin,,,
240040,3_N_03,monster_3-1_moldycheese_move,monster_3-1_moldycheese,,,
240041,3_N_04,monster_3-2_moldytangerin_move,monster_3-2_moldytangerin,,,
240042,3_N_05,monster_3-1_moldycheese_move,monster_3-1_moldycheese,,,
240043,3_N_06,monster_3-2_moldytangerin_move,monster_3-2_moldytangerin,,,
240044,3_N_07,monster_3-1_moldycheese_move,monster_3-1_moldycheese,,,
240045,3_S_01,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240046,3_S_02,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240047,3_S_03,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240048,3_S_04,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240049,3_S_05,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240050,3_S_06,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240051,3_S_07,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240052,3_S_08,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240053,3_S_09,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240054,3_S_10,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240055,3_S_11,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240056,3_S_12,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240057,3_S_13,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240058,3_S_14,specialmonster_3-2_moldysausage_move,specialmonster_3-2_moldysausage,,,
240059,3_S_15,specialmonster_3-1_moldycupnoodle_move,specialmonster_3-1_moldycupnoodle,,,
240060,3_E_01,elitemonster_3-1_moldypizza_move,elitemonster_3-1_moldypizza,,,
240061,3_E_02,elitemonster_3-2_moldykimchibin_move,elitemonster_3-2_moldykimchibin,,,
240062,3_E_03,elitemonster_3-1_moldypizza_move,elitemonster_3-1_moldypizza,,,
240063,3_E_04,elitemonster_3-2_moldykimchibin_move,elitemonster_3-2_moldykimchibin,,,
240064,3_E_05,elitemonster_3-1_moldypizza_move,elitemonster_3-1_moldypizza,,,
240065,3_B_01,bossmonster_3-1_moldybread_move,bossmonster_3-1_moldybread,,,
240066,3_B_02,bossmonster_3-2_moldybread+_move,bossmonster_3-2_moldybread+,,,
240067,3_B_03,bossmonster_3-3_sporebread_move,bossmonster_3-3_sporebread,,,
240068,3_B_04,bossmonster_3-4_sporebread+_move,bossmonster_3-4_sporebread+,,,
240069,3_B_05,bossmonster_3-5_poisonsporebread_move,bossmonster_3-5_poisonsporebread,,,
240070,3_B_06,bossmonster_3-6_poisonsporebread+_move,bossmonster_3-6_poisonsporebread+,,,
240071,3_B_07,bossmonster_3-7_sporeking.png_move,bossmonster_3-7_sporeking.png,,,
