패턴 고유 ID (PK),"기획 소통용
탑_타입_번호","패턴 타입
0=이동
1=투사체
2=영역
3=소환수
4=트리거",세부 패턴 구분,지속 시간 (초 단위),예고 시간 (초 단위),기본 쿨타임 (초 단위),패턴 값,데미지 배율,패턴 발동 감지 범위 (월드 유닛 단위),이동 유지 시간 (초 단위),지그재그 폭 (월드 유닛 단위),점프 높이 (월드 유닛 단위),추적 유지 시간 (초 단위),"도망 패턴 타겟 유형
0=플레이어 반대 방향
1=밀집 지역
2=지정 위치",돌진 속도,"투사체 타입
0=직선
1=포물선
2=공전
3=레이저",투사체 속도,"투사체 크기
(월드 유닛 단위)",발사 개수,연속 발사 간격 (초 단위),투사체 유지 시간 (초 단위),"투사체 관통 타입
0=소멸
1=관통
2=반사","유도 여부
false = 유도 안 함
true = 유도함",포물선 최고점 높이 (월드 유닛 단위),공전 반경 (월드 유닛 단위),"범위 반경
(월드 유닛 단위)",범위 피해 간격 (초 단위),"타겟 기준
0=플레이어 기준
1=보스 기준
2=랜덤 구역",폭발 반경 (월드 유닛 단위),소환 몬스터 ID,소환수 마리수,"소환 범위
(월드 유닛 단위)","
소환 위치 기준
0=플레이어 기준
1=보스 기준","디버프 타입
0=지속피해
1=스턴
2=이동 속도 감소",디버프 지속 시간 (초 단위),디버프 수치,지속 피해 간격 (초 단위),"바리게이트 모양
0=직사각형
1=원형","바리게이트 타겟
0=플레이어만
1=보스만
2=플레이어, 보스 함께
3= 아무도 없는 위치","바리게이트
가로 길이
 (월드 유닛 단위)","바리게이트
직사각형
세로 길이
(월드 유닛 단위)","생성 기준점
0=플레이어 기준
1=보스 기준
2=고정 좌표
 (월드 유닛 단위)","생성 기준점 대비 X 오프셋
 (월드 유닛 단위)","생성 기준점 대비 Y 오프셋
 (월드 유닛 단위)",접촉 데미지,"이동 차단 여부
false = 이동 가능
true = 이동 불가"
pattern_id,index,pattern_type,pattern_logic_type,duration,cast_time,cooldown,pattern_value,damage_multiply,detect_range,move_time,zigzag_width,jump_height,chase_time,escape_target,rush_speed,projectile_type,projectile_speed,projectile_size,projectile_count,fire_interval,life_time,pierce_type,follow,arc_height,projectile_radius,area_radius,area_damage_interval,area_target_type,explode_range,summon_monster_id,summon_count,summon_radius,summon_position_type,debuff_type,debuff_duration,debuff_value,debuff_damage_interval,barrier_shape,barrier_target_type,barrier_size_x,barrier_size_y,anchor_type,barrier_offset_x,barrier_offset_y,barrier_damage,barrier_collision_block
int,string,enum,string,float,float,float,float,float,float,float,float,float,float,enum,float,enum,float,float,int,float,float,enum,bool,float,float,flaot,float,enum,float,int,int,float,enum,enum,float,float,float,enum,enum,float,float,enum,float,float,float,bool
220001,2_S_01,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220002,2_S_02,0,move_zigzag,null,null,null,0.8,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220003,2_S_03,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220004,2_S_04,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220005,2_S_05,0,move_jump,null,3,null,1.5,2,2,null,null,2,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220006,2_S_06,0,move_escape,null,3,null,1.5,null,4,8,null,null,null,0,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220007,2_S_07,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,1,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
220008,2_S_08,1,projectile_basic,null,null,2,null,1.2,1.5,null,null,null,null,null,null,0,1.5,0.1,2,0.2,2,0,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE
