고유 id,기획자 소통용,스테이지와 연결되는 그룹 id,"보상 수령 횟수 
0: 최초 클리어 1회만 지급 
1: 클리어 시 항상 지급되는 기본 보상",보상의 종류 0: 골드 1: 장비 2: 도면 ,지급할 아이템 id,최소 수량,최대 수량,해당 아이템 드랍 확률
reward_id,_description,reward_group_id,reward_category,reward_type,item_id,min_count,max_count,drop_rate
int,int,int,enum,enum,int,int,int,float
599901,일일 골드 던전(기본 보상),599901,1,0,31001,1000,1000,1
599801,일일 도면 던전(쉬움) 망토,599801,1,2,34001,1,1,0.5
599802,일일 도면 던전(쉬움) 목걸이,599801,1,2,34002,1,1,0.5
599803,일일 도면 던전(쉬움) 무기,599801,1,2,34003,1,1,0.5
599804,일일 도면 던전(쉬움) 신발,599801,1,2,34004,1,1,0.5
599811,일일 도면 던전(중간) 망토,599811,1,2,34001,1,2,1
599812,일일 도면 던전(중간) 목걸이,599811,1,2,34002,1,2,1
599813,일일 도면 던전(중간) 무기,599811,1,2,34003,1,2,1
599814,일일 도면 던전(중간) 신발,599811,1,2,34004,1,2,1
599821,일일 도면 던전(어려움) 망토,599821,1,2,34001,2,3,1
599822,일일 도면 던전(어려움) 목걸이,599821,1,2,34002,2,3,1
599823,일일 도면 던전(어려움) 무기,599821,1,2,34003,2,3,1
599824,일일 도면 던전(어려움) 신발,599821,1,2,34004,2,3,1
598901,주간 유물 던전(쉬움) 기본보상,59801,1,2,34005,0,0,1
598902,주간 유물 던전(중간) 기본보상,59802,1,2,34005,10,10,1
598903,주간 유물 던전(어려움) 기본보상,59803,1,2,34005,30,30,1
510101,1번탑 1스테이지,101,1,0,31001,100,500,1
510201,1번탑 2스테이지,102,0,1,32101,1,1,1
510202,1번탑 2스테이지,102,0,1,32201,1,1,1
510203,1번탑 2스테이지,102,0,1,32401,1,1,1
510204,1번탑 2스테이지,102,1,0,31001,100,500,1
510301,1번탑 3스테이지,103,1,0,31001,100,500,1
510302,1번탑 3스테이지,103,0,2,34003,10,10,1
510401,1번탑 4스테이지,104,0,1,33001,1,1,1
510402,1번탑 4스테이지,104,1,0,31001,100,500,1
510501,1번탑 5스테이지,105,1,0,31001,100,500,1
510502,1번탑 5스테이지,105,1,1,32301,1,1,0.1
520101,2번탑 1스테이지,201,1,0,31001,900,1000,1
520102,2번탑 1스테이지,201,0,2,34002,1,2,1
520103,2번탑 1스테이지,201,1,2,34002,1,1,0.1
520201,2번탑 2스테이지,202,1,0,31001,900,1000,1
520202,2번탑 2스테이지,202,0,2,34001,1,2,1
520203,2번탑 2스테이지,202,1,2,34001,1,1,0.1
520301,2번탑 3스테이지,203,1,0,31001,900,1000,1
520302,2번탑 3스테이지,203,0,2,34004,1,2,1
520303,2번탑 3스테이지,203,1,2,34004,1,1,0.1
520401,2번탑 4스테이지,204,1,0,31001,900,1000,1
520402,2번탑 4스테이지,204,0,2,34001,1,2,1
520403,2번탑 4스테이지,204,1,2,34001,1,1,0.1
520501,2번탑 5스테이지,205,1,0,31001,1080,1200,1
520502,2번탑 5스테이지,205,0,2,34003,1,2,1
520503,2번탑 5스테이지,205,1,2,34003,1,1,0.15
520601,2번탑 6스테이지,206,1,0,31001,1000,1100,1
520602,2번탑 6스테이지,206,0,2,34002,1,2,1
520603,2번탑 6스테이지,206,1,2,34002,1,1,0.1
520701,2번탑 7스테이지,207,1,0,31001,1000,1100,1
520702,2번탑 7스테이지,207,0,2,34004,1,2,1
520703,2번탑 7스테이지,207,1,2,34004,1,1,0.1
520801,2번탑 8스테이지,208,1,0,31001,1000,1100,1
520802,2번탑 8스테이지,208,0,2,34001,1,2,1
520803,2번탑 8스테이지,208,1,2,34001,1,1,0.1
520901,2번탑 9스테이지,209,1,0,31001,1000,1100,1
520902,2번탑 9스테이지,209,0,2,34003,2,3,1
520903,2번탑 9스테이지,209,1,2,34003,1,1,0.15
521001,2번탑 10스테이지,210,1,0,31001,1350,1500,1
521002,2번탑 10스테이지,210,0,1,32301,1,1,1
521003,2번탑 10스테이지,210,1,1,32301,1,1,0.05
530101,3번탑 1스테이지,301,1,0,31001,1100,1200,1
530102,3번탑 1스테이지,301,0,2,34001,2,3,1
530103,3번탑 1스테이지,301,1,2,34001,1,1,0.15
530201,3번탑 2스테이지,302,1,0,31001,1100,1200,1
530202,3번탑 2스테이지,302,0,2,34001,2,3,1
530203,3번탑 2스테이지,302,1,2,34001,1,1,0.15
530301,3번탑 3스테이지,303,1,0,31001,1100,1200,1
530302,3번탑 3스테이지,303,0,2,34001,2,3,1
530303,3번탑 3스테이지,303,1,2,34001,1,1,0.15
530401,3번탑 4스테이지,304,1,0,31001,1100,1200,1
530402,3번탑 4스테이지,304,0,2,34001,2,3,1
530403,3번탑 4스테이지,304,1,2,34001,1,1,0.15
530501,3번탑 5스테이지,305,1,0,31001,1300,1450,1
530601,3번탑 6스테이지,306,1,0,31001,1200,1300,1
530602,3번탑 6스테이지,306,0,2,34001,2,4,1
530603,3번탑 6스테이지,306,1,2,34001,1,2,0.15
530701,3번탑 7스테이지,307,1,0,31001,1200,1300,1
530702,3번탑 7스테이지,307,0,2,34001,2,4,1
530703,3번탑 7스테이지,307,1,2,34001,1,2,0.15
