고유id,기획자 소통용,튜토리얼 그룹 id,그룹 내에서 진행되는 순서,실행할 조건,트리거 대상 id,트리거에 만족하는 수치,연출 방식,연출에 사용할 UI리소스 키,스탭당 최대 시간,스트링 키
tutorial_id,_description,tutorial_group_id,step_id,trigger_type,trigger_id,trigger_value,action_type,action_ui_key,max_wait_time,string
int,string,string,int,enum,string,int,enum,string,int,string
50101,스테이지 입장 및 몬스터 스폰,,1,,,5,,,0,
50102,공격 스틱 강조 및 가이드 출력,,2,,,1,,,30,
50103,몬스터 5마리 처치 확인,,3,,,5,,,0,
50104,이동 및 더러움 청소 가이드,,4,,,1,,,30,
50105,더러움 획득(자석 로직 포함),,5,,,5,,,10,
50106,레벨업 및 특정 스킬 강조,,6,,,2,,,15,
50107,스킬 선택 완료 및 다음 진행,,7,,,1,,,0,
50108,결과창 출력 및 로비 이동 강조,,8,,,1,,,0,
50201,2스테이지 입장 및 몬스터 스폰,,1,,,1,,,,
50202,몬스터 5마리 처치 및 장비 드랍,,2,,,5,,,,
50203,장비 획득 후 게임 클리어,,3,,,1,,,,
50204,로비 이동 버튼 클릭,,4,,,1,,,,
50205,장비 메뉴 버튼 클릭,,5,,,1,,,,
50206,인벤토리 내 획득 장비 클릭,,6,,,1,,,,
50207,장비 장착 완료,,7,,,1,,,,
50301,3스테이지 입장 및 진행,,1,,,1,,,,
50302,보스 처치 및 도면 획득,,2,,,1,,,,
50303,로비 이동 버튼 클릭,,3,,,1,,,,
50304,장비 메뉴 진입,,4,,,1,,,,
50305,강화할 장비 선택,,5,,,1,,,,
50306,장비 강화 버튼 클릭,,6,,,1,,,,
50307,강화 실행,,7,,,1,,,,
50401,4스테이지 입장 및 진행,,1,,,1,,,,
50402,보스 처치 및 유물 획득,,2,,,1,,,,
50403,로비 이동 및 장비 메뉴 진입,,3,,,1,,,,
50404,유물 탭 클릭,,4,,,1,,,,
50405,유물 아이템 선택 및 착용,,5,,,1,,,,
